customer_id,order_id,product_id,product_qty
YTS-92438,AAD-4091,42-811-3974,9
YTS-92438,AAD-4091,72-217-8555,10
BWU-36083,AAK-0526,85-279-1314,5
BWU-36083,AAK-0526,43-612-9451,19
BWU-36083,AAK-0526,42-665-9904,16
CLZ-73501,AAK-6361,34-695-2894,20
CLZ-73501,AAK-6361,77-608-6808,14
KCQ-71974,ADJ-5614,62-549-0675,4
GSB-19226,ADJ-6838,10-001-4855,13
GSB-19226,ADJ-6838,41-772-6262,10
GSB-19226,ADJ-6838,74-877-3959,10
ONK-54643,ADV-4775,49-292-7496,9
ONK-54643,ADV-4775,16-083-1182,18
VEY-83651,ADV-7947,94-218-6034,13
PSF-02302,ADX-1928,15-759-9227,17
PSF-02302,ADX-1928,28-337-8073,7
XAL-14169,ADX-2356,96-521-3410,12
XAL-14169,ADX-2356,32-886-8630,3
ZNI-36130,AFD-0715,84-172-2801,8
ZNI-36130,AFD-0715,01-785-5713,9
GEP-35815,AFR-2862,47-739-7389,13
GEP-35815,AFR-2862,33-671-5520,16
JCE-45562,AFR-8446,70-283-5983,3
CAL-31966,AGI-1868,71-072-5327,18
CAL-31966,AGI-1868,77-741-3022,14
CMY-73211,AGI-3011,79-389-5613,4
ZCN-40337,AHD-2283,24-097-5866,20
ZCN-40337,AHD-2283,81-430-7703,12
ZLR-94414,AHE-2371,52-479-1789,15
RHA-97388,AHE-4748,58-553-3829,11
RHA-97388,AHE-4748,47-986-3110,4
OSB-77289,AIP-1362,52-349-4814,14
OSB-77289,AIP-1362,68-339-7875,7
KID-91654,AIP-9499,96-299-1871,16
KID-91654,AIP-9499,14-743-3005,7
KID-91654,AIP-9499,48-257-8759,2
OXZ-74933,AJN-2637,90-593-0896,4
OXZ-74933,AJN-2637,69-950-3943,12
KMO-59963,AJN-7103,11-781-4550,14
KMO-59963,AJN-7103,76-046-2056,17
KMO-59963,AJN-7103,56-863-3570,4
FNS-68804,AJZ-0374,44-012-6153,11
FNS-68804,AJZ-0374,72-174-0997,13
HTU-65749,AJZ-8795,04-383-5009,3
NZR-48213,AKD-1793,01-918-3378,15
NZR-48213,AKD-1793,41-335-3207,7
TYV-02102,AKD-2599,88-132-9067,15
TYV-02102,AKD-2599,52-928-6422,14
MGO-93456,AKU-5946,61-237-7918,19
MGO-93456,AKU-5946,88-462-2369,5
RPD-42853,AKU-6436,65-520-1327,15
RPD-42853,AKU-6436,71-514-3306,9
VHG-94089,ALF-9335,08-552-8854,2
VHG-94089,ALF-9335,66-501-7200,16
VHG-94089,ALF-9335,63-429-3981,6
WRU-36151,ALI-8785,61-452-6405,8
WRU-36151,ALI-8785,36-017-1691,8
WRU-36151,ALI-8785,12-285-6152,14
FXN-53707,ALM-0482,48-633-1857,8
FXN-53707,ALM-0482,28-101-1484,16
FXN-53707,ALM-0482,84-149-1094,4
PTQ-44693,ALM-2055,32-079-3525,6
PTQ-44693,ALM-2055,20-624-4154,15
INZ-84177,ALM-4713,21-441-5158,2
XHL-69925,ALM-7932,26-126-8637,6
XHL-69925,ALM-7932,40-677-5221,17
SAX-35594,ALN-4221,32-005-2173,14
SAX-35594,ALN-4221,32-560-6530,20
MQV-12400,ALN-4949,95-690-3184,18
MQV-12400,ALN-4949,84-070-2935,9
DMK-65903,ALQ-2841,25-630-4737,11
DMK-65903,ALQ-2841,90-967-1463,18
EVB-64319,ALQ-3792,77-123-2297,10
EVB-64319,ALQ-3792,19-809-3380,6
APZ-62721,AMB-4606,87-988-7651,7
ALK-56502,AMB-6428,01-505-2486,2
LTW-21557,AMK-6233,11-022-0978,10
HYP-42158,AMK-6934,04-764-3487,15
HYP-42158,AMK-6934,01-050-1010,3
PAF-44089,AML-1643,65-994-3238,20
PAF-44089,AML-1643,41-066-9136,15
PAF-44089,AML-1643,82-032-2395,7
WBR-75402,AML-9240,33-448-1950,9
BVT-77023,AOB-8105,08-724-0599,6
BVT-77023,AOB-8105,31-206-7727,16
BJF-99781,AOB-9966,08-506-1264,1
BJF-99781,AOB-9966,93-389-3317,7
BJF-99781,AOB-9966,26-495-3229,2
ZQL-96692,AOH-5650,04-337-2891,18
ZQL-96692,AOH-5650,32-560-6530,19
AHJ-12824,AQM-0605,84-259-0089,8
AHJ-12824,AQM-0605,70-312-2856,20
AHJ-12824,AQM-0605,11-587-1855,1
KGG-31668,AQM-2066,46-086-5000,10
KGG-31668,AQM-2066,21-390-3483,16
KGG-31668,AQM-2066,58-218-5580,15
AHJ-34602,AQM-8144,69-975-9572,13
AHJ-34602,AQM-8144,26-495-3229,14
OMY-58623,AQM-9075,89-544-1101,14
ILK-79470,AQQ-3884,99-653-8059,19
ILK-79470,AQQ-3884,36-966-7799,3
FSD-17874,AQQ-5504,52-977-0407,11
FSD-17874,AQQ-5504,03-473-1590,13
JCD-49823,AQY-5450,12-586-9635,14
GEN-42720,AQY-6898,92-705-9273,17
GEN-42720,AQY-6898,12-586-9635,14
GVE-88512,ARO-8544,63-429-3981,12
GVE-88512,ARO-8544,17-976-5960,6
GVE-88512,ARO-8544,33-714-5807,10
KDY-34831,ARO-9201,55-853-1910,15
KDY-34831,ARO-9201,28-886-7662,17
AOY-81142,ASL-2040,77-841-8220,2
AOY-81142,ASL-2040,97-311-8960,5
AXT-62647,ASL-8773,82-449-1798,8
ECY-19008,ASS-1835,18-286-7409,12
ECY-19008,ASS-1835,86-211-9441,5
FNB-55327,ASS-7428,81-331-4946,19
PME-65620,AUC-6320,92-408-4906,12
KVB-79323,AUC-7002,33-448-1950,7
KVB-79323,AUC-7002,97-663-4331,1
KVB-79323,AUC-7002,32-169-1593,4
MDA-39179,AVE-7699,31-879-2034,5
MDA-39179,AVE-7699,50-596-4877,9
MDA-39179,AVE-7699,12-973-7202,6
RLD-23191,AVE-8971,81-646-9734,12
XYR-46722,AVG-6526,84-149-1094,1
QDW-39457,AVG-7606,20-556-3674,11
QDW-39457,AVG-7606,19-853-5001,17
KNT-07817,AVH-7016,88-462-2369,1
KNT-07817,AVH-7016,55-030-1575,11
PCN-85238,AVH-8821,18-286-7409,11
PCN-85238,AVH-8821,43-612-9451,9
SOJ-27421,AYK-2917,89-330-8496,2
SOJ-27421,AYK-2917,08-100-0817,18
XIO-34283,AYT-4578,97-849-4693,8
XIO-34283,AYT-4578,95-690-3184,9
PTQ-84464,AYT-6177,11-557-8244,17
PTQ-84464,AYT-6177,09-112-5557,6
JLM-75527,AYV-4333,87-867-8409,19
GJS-06694,AYV-8461,35-021-8505,13
SDL-46841,AZJ-0233,41-354-6239,12
SDL-46841,AZJ-0233,58-531-1821,18
WTM-36992,BBD-7836,51-783-5050,20
WTM-36992,BBD-7836,83-109-5614,14
WTM-36992,BBD-7836,62-826-9766,5
WKT-08100,BCF-7965,73-437-1072,18
WKT-08100,BCF-7965,79-007-6648,3
PJH-52727,BCF-8202,39-155-7466,6
PJH-52727,BCF-8202,27-966-6139,17
PJH-52727,BCF-8202,29-079-4531,9
ZVS-42143,BCP-5980,00-495-2744,16
ZVS-42143,BCP-5980,93-389-3317,1
YIP-22314,BDI-0728,38-322-2938,6
YIP-22314,BDI-0728,79-655-9737,1
YIP-22314,BDI-0728,62-156-2167,12
ELY-26529,BDI-4078,53-063-5902,16
ELY-26529,BDI-4078,90-078-6038,20
GAH-23075,BDI-6549,81-208-1851,19
GAH-23075,BDI-6549,20-310-3444,2
HFI-23645,BDS-3831,14-381-7269,20
HFI-23645,BDS-3831,24-499-8485,4
FIA-58646,BDS-4345,89-827-1661,2
FIA-58646,BDS-4345,81-159-5022,2
FIA-58646,BDS-4345,83-936-4787,18
SQO-39829,BFO-5717,92-667-1947,15
SQO-39829,BFO-5717,91-948-5490,14
SQO-39829,BFO-5717,61-007-6823,5
AZJ-73183,BGB-6723,22-839-5661,6
AZJ-73183,BGB-6723,62-764-0133,16
APZ-62721,BGB-9670,12-412-3892,12
APZ-62721,BGB-9670,34-100-2931,4
GKD-77770,BGD-0906,31-258-7866,20
GKD-77770,BGD-0906,27-027-1722,6
JPF-38185,BGD-1008,77-366-9333,7
JPF-38185,BGD-1008,56-289-7921,1
PKX-19625,BGH-2064,84-431-7696,1
KUY-60927,BGH-7572,40-767-1323,4
KUY-60927,BGH-7572,63-260-2207,13
SPX-35317,BHW-5698,25-743-5797,20
UVI-08265,BJC-4381,60-629-3357,7
UVI-08265,BJC-4381,02-673-1337,16
UVI-08265,BJC-4381,47-826-2398,14
TND-86192,BJG-1401,94-049-5945,16
TND-86192,BJG-1401,71-015-1326,13
TND-86192,BJG-1401,62-675-6608,4
BFB-40374,BKA-5060,25-775-6567,5
BFB-40374,BKA-5060,25-623-6813,7
BNS-34294,BKA-7081,11-557-8244,14
NML-75856,BKV-1136,03-340-4549,3
NML-75856,BKV-1136,82-879-8442,12
NML-75856,BKV-1136,26-776-4481,5
TDK-54609,BKV-9254,13-038-3266,7
YBH-36909,BKW-0726,18-193-5154,13
YBH-36909,BKW-0726,41-743-4040,4
RTA-59329,BLC-3839,36-109-6627,2
RTA-59329,BLC-3839,67-827-3704,11
DKJ-08990,BLN-4803,04-695-5565,3
CLV-64992,BLN-5257,34-903-5924,11
CLV-64992,BLN-5257,73-308-3615,17
CLV-64992,BLN-5257,63-379-2576,3
SUY-32448,BMZ-1701,72-706-9892,13
SUY-32448,BMZ-1701,94-289-6591,6
NCN-86554,BMZ-4524,55-030-1575,6
XBA-65202,BNQ-2660,56-727-7912,17
XBA-65202,BNQ-2660,80-635-9373,5
XBA-65202,BNQ-2660,99-803-8766,18
DTP-46176,BNQ-6169,57-950-1710,12
DTP-46176,BNQ-6169,71-373-7523,3
DTP-46176,BNQ-6169,99-433-2917,6
FGB-33515,BNQ-8615,92-872-3947,17
KKT-52545,BNW-1398,44-270-9009,14
KKT-52545,BNW-1398,82-290-0169,2
HBP-39672,BNW-6033,47-080-5931,3
HBP-39672,BNW-6033,42-679-9843,6
TXX-30500,BOC-4216,62-880-5515,4
TXX-30500,BOC-4216,94-859-3628,15
KDS-92306,BOF-4588,28-404-9144,6
GUC-45683,BOF-9366,87-117-1194,9
GUC-45683,BOF-9366,29-611-2600,12
VKB-50061,BQC-6719,50-386-0005,13
VKB-50061,BQC-6719,14-275-1287,15
VKB-50061,BQC-6719,66-484-6519,10
ZBQ-62002,BQG-2887,82-600-5466,4
ZBQ-62002,BQG-2887,88-478-2068,14
ZBQ-62002,BQG-2887,26-969-2460,18
FHC-82833,BQY-4645,89-431-6610,6
DTZ-99095,BQY-6188,71-189-9588,15
DTZ-99095,BQY-6188,79-812-8067,18
DTZ-99095,BQY-6188,29-244-0977,16
MAN-10244,BSA-2556,92-488-4205,2
IDV-44801,BSA-9950,91-948-5490,12
IDV-44801,BSA-9950,91-543-1141,17
YMC-82707,BSH-6224,10-728-7505,16
YMC-82707,BSH-6224,85-883-0273,4
YMC-82707,BSH-6224,46-290-7950,2
EKI-49433,BSX-5847,03-417-9640,17
DAU-85706,BSX-8106,81-331-4946,6
DAU-85706,BSX-8106,58-210-0910,18
BNK-18629,BTH-4367,13-334-0725,3
BCX-52224,BTH-6923,00-014-1314,19
BCX-52224,BTH-6923,37-058-6285,5
BCX-52224,BTH-6923,31-897-4567,6
OEI-47622,BUX-1607,91-948-5490,13
OEI-47622,BUX-1607,82-147-9350,10
KDC-35155,BUX-6060,51-303-4344,17
KDC-35155,BUX-6060,25-833-2692,17
IQK-30834,BVV-4070,11-070-3495,2
IQK-30834,BVV-4070,60-215-8627,15
MJA-98763,BVV-9145,99-573-5355,3
MJA-98763,BVV-9145,10-334-6265,18
UDW-35134,BWO-5755,81-297-6143,1
UDW-35134,BWO-5755,39-647-4050,11
GVG-31198,BYH-3021,02-624-9140,12
GVG-31198,BYH-3021,85-128-1876,15
KEY-75125,BYH-6718,84-259-0089,11
MFD-59251,BYI-5344,56-727-7912,10
MFD-59251,BYI-5344,22-657-8643,15
RMN-33213,BYI-5680,48-867-0883,3
BAO-19729,BYQ-5863,04-284-9156,3
BAO-19729,BYQ-5863,47-826-2398,9
AQS-39537,BYQ-9176,82-032-2395,8
AQS-39537,BYQ-9176,90-105-1563,7
KBL-88890,BZL-1277,41-743-4040,8
KBL-88890,BZL-1277,42-897-0984,12
OCG-16513,BZL-6640,71-358-1219,3
GSB-19226,CAC-4128,27-276-7888,12
FDT-82735,CAC-5901,78-345-5609,14
FDT-82735,CAC-5901,83-908-2922,17
FDT-82735,CAC-5901,77-439-2843,6
WBZ-78097,CBC-4805,09-108-5554,9
WBZ-78097,CBC-4805,68-848-4770,8
WBZ-78097,CBC-4805,42-897-0984,10
ATD-97183,CBY-3789,82-523-9160,12
ATD-97183,CBY-3789,16-458-1689,1
ATD-97183,CBY-3789,32-729-0633,13
BCO-22668,CBY-6298,08-464-1767,3
DHT-25225,CCX-1923,47-826-2398,10
DHT-25225,CCX-1923,99-833-7000,17
ENY-48834,CCX-2401,93-188-8421,15
ENY-48834,CCX-2401,13-821-9430,12
TSK-44407,CDA-4741,31-656-9075,5
NTC-36262,CDA-7419,21-467-4867,19
NTC-36262,CDA-7419,74-002-4928,11
KWF-02995,CDN-6612,03-897-1579,14
KWF-02995,CDN-6612,57-998-1417,14
KWF-02995,CDN-6612,08-115-3988,11
PPP-76997,CDN-7279,96-707-0111,18
JFU-70895,CDT-1329,28-886-7662,19
JFU-70895,CDT-1329,11-909-9390,10
JFU-70895,CDT-1329,99-816-6779,18
NGC-71356,CDT-5091,26-120-2859,9
QDJ-65351,CEC-0801,58-829-9896,8
QDJ-65351,CEC-0801,43-993-7650,5
XYM-68988,CEC-5176,66-102-7445,2
XYM-68988,CEC-5176,86-221-2194,9
VYA-02903,CET-9716,84-465-9981,18
VYA-02903,CET-9716,51-355-5771,7
FII-44717,CFY-5731,08-415-0390,18
FII-44717,CFY-5731,93-122-0568,4
HIT-26425,CFY-8370,96-299-1871,17
UUC-42190,CGO-6337,66-172-5155,10
UUC-42190,CGO-6337,60-404-7374,16
JFM-85395,CGT-3066,36-966-7799,15
JFM-85395,CGT-3066,52-481-2252,12
JFM-85395,CGT-3066,71-135-3437,3
NFG-16496,CGT-7134,93-085-3402,5
RLF-61765,CHB-5498,44-012-6153,19
RLF-61765,CHB-5498,11-995-8260,4
TSY-49316,CIM-9073,04-764-3487,20
TSY-49316,CIM-9073,13-988-7154,15
TSY-49316,CIM-9073,97-035-3322,9
QFS-92539,CJF-2663,35-364-7373,13
QFS-92539,CJF-2663,89-947-6127,19
YAI-38581,CJF-5113,65-173-2185,10
YAI-38581,CJF-5113,80-170-3703,14
GLF-84417,CKU-2494,33-410-0196,8
GLF-84417,CKU-2494,71-135-3437,2
EUV-37583,CKU-5692,03-340-4549,10
EUV-37583,CKU-5692,76-368-5961,19
EUV-37583,CKU-5692,04-083-8996,3
FGB-33515,CKX-0597,28-337-8073,2
FGB-33515,CKX-0597,56-402-6081,1
HAK-97609,CKX-3674,27-027-1722,10
HAK-97609,CKX-3674,62-675-6608,6
NXR-35045,CLI-1946,79-007-6648,11
NXR-35045,CLI-1946,47-300-5792,19
RXH-26896,CLI-2184,70-345-5629,5
MPZ-49334,CLI-2562,82-082-0211,5
MPZ-49334,CLI-2562,70-901-4482,19
MPZ-49334,CLI-2562,33-714-5807,4
TYI-19665,CLI-6355,35-564-4089,15
TYI-19665,CLI-6355,41-772-6262,4
ATW-85486,CLL-1219,33-939-1022,3
ATW-85486,CLL-1219,48-174-4795,1
ANQ-47077,CLL-4654,78-402-4030,8
ANQ-47077,CLL-4654,56-360-9357,18
TOT-87420,CLW-5539,29-096-2247,14
TOT-87420,CLW-5539,73-308-3615,4
ZGW-67128,CMO-5303,82-070-3982,17
ZGW-67128,CMO-5303,38-842-1342,19
HDV-58110,CNG-3123,36-328-6199,16
FHG-48761,CNG-8096,34-695-2894,8
FHG-48761,CNG-8096,19-632-6137,3
FHG-48761,CNG-8096,55-995-2675,15
MLY-44705,CNO-5805,21-511-6596,18
MLY-44705,CNO-5805,39-264-5664,3
IRT-45168,CNO-8928,29-368-7662,11
IRT-45168,CNO-8928,89-947-6127,20
IRT-45168,CNO-8928,21-441-5158,9
EJE-38655,COH-0599,71-514-3306,13
EJE-38655,COH-0599,41-354-6239,7
EJE-38655,COH-0599,13-472-2481,12
FPH-26407,COH-2531,19-632-6137,1
FPH-26407,COH-2531,70-312-2856,16
EHM-45282,CPU-7981,31-302-8931,4
EHM-45282,CPU-7981,93-122-0568,8
CYZ-85085,CPU-8388,96-898-6534,3
CYZ-85085,CPU-8388,51-025-6238,20
MAP-01921,CPV-1160,17-479-7792,5
IEY-00277,CPV-5603,91-234-6234,20
IEY-00277,CPV-5603,69-975-9572,5
TGE-89868,CQA-4640,34-628-8485,14
TGE-89868,CQA-4640,00-847-7041,5
AHJ-12824,CQW-2357,20-556-3674,9
AHJ-12824,CQW-2357,18-960-4157,2
AFJ-00690,CQW-4715,76-582-3329,20
AFJ-00690,CQW-4715,50-920-4517,8
XSI-38994,CRU-0044,34-903-5924,5
XSI-38994,CRU-0044,06-577-9672,7
XSI-38994,CRU-0044,96-000-2431,1
NVR-12536,CSA-1171,44-666-9297,6
JVC-81248,CSA-4429,60-404-7374,5
JVC-81248,CSA-4429,69-118-8432,19
JVC-81248,CSA-4429,46-850-5722,11
YFL-42376,CSD-6250,18-584-8160,15
YFL-42376,CSD-6250,06-377-3616,17
XNP-94128,CSM-2366,09-655-7992,19
