cutomer_id,order_id,product_id,product_qty,order_date,order_time
YTS-92438,AAD-4091,42-811-3974,9,10/11/2023,05:43:29
YTS-92438,AAD-4091,72-217-8555,10,10/11/2023,05:43:29
BWU-36083,AAK-0526,85-279-1314,5,09/02/2024,14:20:43
BWU-36083,AAK-0526,43-612-9451,19,09/02/2024,14:20:43
BWU-36083,AAK-0526,42-665-9904,16,09/02/2024,14:20:43
CLZ-73501,AAK-6361,34-695-2894,20,28/03/2024,20:29:45
CLZ-73501,AAK-6361,77-608-6808,14,28/03/2024,20:29:45
KCQ-71974,ADJ-5614,62-549-0675,4,19/11/2023,23:34:47
GSB-19226,ADJ-6838,10-001-4855,13,02/08/2023,11:28:04
GSB-19226,ADJ-6838,41-772-6262,10,02/08/2023,11:28:04
GSB-19226,ADJ-6838,74-877-3959,10,02/08/2023,11:28:04
ONK-54643,ADV-4775,49-292-7496,9,26/10/2023,14:14:09
ONK-54643,ADV-4775,16-083-1182,18,26/10/2023,14:14:09
VEY-83651,ADV-7947,94-218-6034,13,10/11/2023,00:18:36
PSF-02302,ADX-1928,15-759-9227,17,27/02/2024,23:45:21
PSF-02302,ADX-1928,28-337-8073,7,27/02/2024,23:45:21
XAL-14169,ADX-2356,96-521-3410,12,17/03/2024,14:09:33
XAL-14169,ADX-2356,32-886-8630,3,17/03/2024,14:09:33
ZNI-36130,AFD-0715,84-172-2801,8,28/09/2023,13:17:24
ZNI-36130,AFD-0715,01-785-5713,9,28/09/2023,13:17:24
GEP-35815,AFR-2862,47-739-7389,13,16/03/2024,14:02:34
GEP-35815,AFR-2862,33-671-5520,16,16/03/2024,14:02:34
JCE-45562,AFR-8446,70-283-5983,3,09/09/2023,10:21:01
CAL-31966,AGI-1868,71-072-5327,18,19/12/2023,13:50:26
CAL-31966,AGI-1868,77-741-3022,14,19/12/2023,13:50:26
CMY-73211,AGI-3011,79-389-5613,4,02/06/2023,03:46:30
ZCN-40337,AHD-2283,24-097-5866,20,11/11/2023,19:03:48
ZCN-40337,AHD-2283,81-430-7703,12,11/11/2023,19:03:48
ZLR-94414,AHE-2371,52-479-1789,15,23/10/2023,09:10:42
RHA-97388,AHE-4748,58-553-3829,11,25/08/2023,02:39:13
RHA-97388,AHE-4748,47-986-3110,4,25/08/2023,02:39:13
OSB-77289,AIP-1362,52-349-4814,14,21/09/2023,05:21:22
OSB-77289,AIP-1362,68-339-7875,7,21/09/2023,05:21:22
KID-91654,AIP-9499,96-299-1871,16,17/10/2023,02:47:42
KID-91654,AIP-9499,14-743-3005,7,17/10/2023,02:47:42
KID-91654,AIP-9499,48-257-8759,2,17/10/2023,02:47:42
OXZ-74933,AJN-2637,90-593-0896,4,07/11/2023,20:32:16
OXZ-74933,AJN-2637,69-950-3943,12,07/11/2023,20:32:16
KMO-59963,AJN-7103,11-781-4550,14,07/07/2023,13:10:30
KMO-59963,AJN-7103,76-046-2056,17,07/07/2023,13:10:30
KMO-59963,AJN-7103,56-863-3570,4,07/07/2023,13:10:30
FNS-68804,AJZ-0374,44-012-6153,11,04/10/2023,13:30:54
FNS-68804,AJZ-0374,72-174-0997,13,04/10/2023,13:30:54
HTU-65749,AJZ-8795,04-383-5009,3,30/03/2024,10:23:53
NZR-48213,AKD-1793,01-918-3378,15,30/06/2023,17:33:25
NZR-48213,AKD-1793,41-335-3207,7,30/06/2023,17:33:25
TYV-02102,AKD-2599,88-132-9067,15,12/12/2023,05:06:59
TYV-02102,AKD-2599,52-928-6422,14,12/12/2023,05:06:59
MGO-93456,AKU-5946,61-237-7918,19,14/02/2024,01:05:03
MGO-93456,AKU-5946,88-462-2369,5,14/02/2024,01:05:03
RPD-42853,AKU-6436,65-520-1327,15,27/11/2023,08:05:32
RPD-42853,AKU-6436,71-514-3306,9,27/11/2023,08:05:32
VHG-94089,ALF-9335,08-552-8854,2,15/06/2023,04:48:54
VHG-94089,ALF-9335,66-501-7200,16,15/06/2023,04:48:54
VHG-94089,ALF-9335,63-429-3981,6,15/06/2023,04:48:54
WRU-36151,ALI-8785,61-452-6405,8,01/01/2024,21:40:38
WRU-36151,ALI-8785,36-017-1691,8,01/01/2024,21:40:38
WRU-36151,ALI-8785,12-285-6152,14,01/01/2024,21:40:38
FXN-53707,ALM-0482,48-633-1857,8,11/10/2023,05:09:58
FXN-53707,ALM-0482,28-101-1484,16,11/10/2023,05:09:58
FXN-53707,ALM-0482,84-149-1094,4,11/10/2023,05:09:58
PTQ-44693,ALM-2055,32-079-3525,6,03/09/2023,04:27:02
