cutomer_id,order_id,product_id,order_date,order_time
YTS-92438,AAD-4091,42-811-3974,10/11/2023,05:43:29
YTS-92438,AAD-4091,72-217-8555,10/11/2023,05:43:29
BWU-36083,AAK-0526,85-279-1314,09/02/2024,14:20:43
BWU-36083,AAK-0526,43-612-9451,09/02/2024,14:20:43
BWU-36083,AAK-0526,42-665-9904,09/02/2024,14:20:43
CLZ-73501,AAK-6361,34-695-2894,28/03/2024,20:29:45
CLZ-73501,AAK-6361,77-608-6808,28/03/2024,20:29:45
KCQ-71974,ADJ-5614,62-549-0675,19/11/2023,23:34:47
GSB-19226,ADJ-6838,10-001-4855,02/08/2023,11:28:04
GSB-19226,ADJ-6838,41-772-6262,02/08/2023,11:28:04
GSB-19226,ADJ-6838,74-877-3959,02/08/2023,11:28:04
ONK-54643,ADV-4775,49-292-7496,26/10/2023,14:14:09
ONK-54643,ADV-4775,16-083-1182,26/10/2023,14:14:09
VEY-83651,ADV-7947,94-218-6034,10/11/2023,00:18:36
PSF-02302,ADX-1928,15-759-9227,27/02/2024,23:45:21
PSF-02302,ADX-1928,28-337-8073,27/02/2024,23:45:21
XAL-14169,ADX-2356,96-521-3410,17/03/2024,14:09:33
XAL-14169,ADX-2356,32-886-8630,17/03/2024,14:09:33
ZNI-36130,AFD-0715,84-172-2801,28/09/2023,13:17:24
ZNI-36130,AFD-0715,01-785-5713,28/09/2023,13:17:24
GEP-35815,AFR-2862,47-739-7389,16/03/2024,14:02:34
GEP-35815,AFR-2862,33-671-5520,16/03/2024,14:02:34
JCE-45562,AFR-8446,70-283-5983,09/09/2023,10:21:01
CAL-31966,AGI-1868,71-072-5327,19/12/2023,13:50:26
CAL-31966,AGI-1868,77-741-3022,19/12/2023,13:50:26
CMY-73211,AGI-3011,79-389-5613,02/06/2023,03:46:30
ZCN-40337,AHD-2283,24-097-5866,11/11/2023,19:03:48
ZCN-40337,AHD-2283,81-430-7703,11/11/2023,19:03:48
ZLR-94414,AHE-2371,52-479-1789,23/10/2023,09:10:42
RHA-97388,AHE-4748,58-553-3829,25/08/2023,02:39:13
RHA-97388,AHE-4748,47-986-3110,25/08/2023,02:39:13
OSB-77289,AIP-1362,52-349-4814,21/09/2023,05:21:22
OSB-77289,AIP-1362,68-339-7875,21/09/2023,05:21:22
KID-91654,AIP-9499,96-299-1871,17/10/2023,02:47:42
KID-91654,AIP-9499,14-743-3005,17/10/2023,02:47:42
KID-91654,AIP-9499,48-257-8759,17/10/2023,02:47:42
OXZ-74933,AJN-2637,90-593-0896,07/11/2023,20:32:16
OXZ-74933,AJN-2637,69-950-3943,07/11/2023,20:32:16
KMO-59963,AJN-7103,11-781-4550,07/07/2023,13:10:30
KMO-59963,AJN-7103,76-046-2056,07/07/2023,13:10:30
KMO-59963,AJN-7103,56-863-3570,07/07/2023,13:10:30
FNS-68804,AJZ-0374,44-012-6153,04/10/2023,13:30:54
FNS-68804,AJZ-0374,72-174-0997,04/10/2023,13:30:54
HTU-65749,AJZ-8795,04-383-5009,30/03/2024,10:23:53
NZR-48213,AKD-1793,01-918-3378,30/06/2023,17:33:25
NZR-48213,AKD-1793,41-335-3207,30/06/2023,17:33:25
TYV-02102,AKD-2599,88-132-9067,12/12/2023,05:06:59
TYV-02102,AKD-2599,52-928-6422,12/12/2023,05:06:59
MGO-93456,AKU-5946,61-237-7918,14/02/2024,01:05:03
MGO-93456,AKU-5946,88-462-2369,14/02/2024,01:05:03
RPD-42853,AKU-6436,65-520-1327,27/11/2023,08:05:32
RPD-42853,AKU-6436,71-514-3306,27/11/2023,08:05:32
VHG-94089,ALF-9335,08-552-8854,15/06/2023,04:48:54
VHG-94089,ALF-9335,66-501-7200,15/06/2023,04:48:54
VHG-94089,ALF-9335,63-429-3981,15/06/2023,04:48:54
WRU-36151,ALI-8785,61-452-6405,01/01/2024,21:40:38
WRU-36151,ALI-8785,36-017-1691,01/01/2024,21:40:38
WRU-36151,ALI-8785,12-285-6152,01/01/2024,21:40:38
FXN-53707,ALM-0482,48-633-1857,11/10/2023,05:09:58
FXN-53707,ALM-0482,28-101-1484,11/10/2023,05:09:58
FXN-53707,ALM-0482,84-149-1094,11/10/2023,05:09:58
PTQ-44693,ALM-2055,32-079-3525,03/09/2023,04:27:02
PTQ-44693,ALM-2055,20-624-4154,03/09/2023,04:27:02
INZ-84177,ALM-4713,21-441-5158,27/10/2023,20:43:28
XHL-69925,ALM-7932,26-126-8637,25/02/2024,08:18:46
XHL-69925,ALM-7932,40-677-5221,25/02/2024,08:18:46
SAX-35594,ALN-4221,32-005-2173,10/11/2023,09:22:07
SAX-35594,ALN-4221,32-560-6530,10/11/2023,09:22:07
MQV-12400,ALN-4949,95-690-3184,14/01/2024,00:34:39
MQV-12400,ALN-4949,84-070-2935,14/01/2024,00:34:39
DMK-65903,ALQ-2841,25-630-4737,18/09/2023,21:35:13
