"cutomer_id","order_id","product_id","product_qty","order_date","order_time"
"YTS-92438","AAD-4091","42-811-3974",3,2023-11-10,05:43:29
"YTS-92438","AAD-4091","72-217-8555",1,2023-11-10,05:43:29
"BWU-36083","AAK-0526","85-279-1314",1,2024-02-09,14:20:43
"BWU-36083","AAK-0526","43-612-9451",2,2024-02-09,14:20:43
"BWU-36083","AAK-0526","42-665-9904",2,2024-02-09,14:20:43
"CLZ-73501","AAK-6361","34-695-2894",3,2024-03-28,20:29:45
"CLZ-73501","AAK-6361","77-608-6808",2,2024-03-28,20:29:45
"KCQ-71974","ADJ-5614","62-549-0675",2,2023-11-19,23:34:47
"GSB-19226","ADJ-6838","10-001-4855",2,2023-08-02,11:28:04
"GSB-19226","ADJ-6838","41-772-6262",2,2023-08-02,11:28:04
"GSB-19226","ADJ-6838","74-877-3959",3,2023-08-02,11:28:04
"ONK-54643","ADV-4775","49-292-7496",3,2023-10-26,14:14:09
"ONK-54643","ADV-4775","16-083-1182",2,2023-10-26,14:14:09
"VEY-83651","ADV-7947","94-218-6034",1,2023-11-10,00:18:36
"PSF-02302","ADX-1928","15-759-9227",2,2024-02-27,23:45:21
"PSF-02302","ADX-1928","28-337-8073",1,2024-02-27,23:45:21
"XAL-14169","ADX-2356","96-521-3410",1,2024-03-17,14:09:33
"XAL-14169","ADX-2356","32-886-8630",2,2024-03-17,14:09:33
"ZNI-36130","AFD-0715","84-172-2801",1,2023-09-28,13:17:24
"ZNI-36130","AFD-0715","01-785-5713",2,2023-09-28,13:17:24
"GEP-35815","AFR-2862","47-739-7389",3,2024-03-16,14:02:34
"GEP-35815","AFR-2862","33-671-5520",3,2024-03-16,14:02:34
"JCE-45562","AFR-8446","70-283-5983",2,2023-09-09,10:21:01
"CAL-31966","AGI-1868","71-072-5327",1,2023-12-19,13:50:26
"CAL-31966","AGI-1868","77-741-3022",2,2023-12-19,13:50:26
"CMY-73211","AGI-3011","79-389-5613",3,2023-06-02,03:46:30
"ZCN-40337","AHD-2283","24-097-5866",2,2023-11-11,19:03:48
"ZCN-40337","AHD-2283","81-430-7703",3,2023-11-11,19:03:48
"ZLR-94414","AHE-2371","52-479-1789",1,2023-10-23,09:10:42
"RHA-97388","AHE-4748","58-553-3829",3,2023-08-25,02:39:13
"RHA-97388","AHE-4748","47-986-3110",2,2023-08-25,02:39:13
"OSB-77289","AIP-1362","52-349-4814",3,2023-09-21,05:21:22
"OSB-77289","AIP-1362","68-339-7875",2,2023-09-21,05:21:22
"KID-91654","AIP-9499","96-299-1871",2,2023-10-17,02:47:42
"KID-91654","AIP-9499","14-743-3005",2,2023-10-17,02:47:42
"KID-91654","AIP-9499","48-257-8759",2,2023-10-17,02:47:42
"OXZ-74933","AJN-2637","90-593-0896",2,2023-11-07,20:32:16
"OXZ-74933","AJN-2637","69-950-3943",1,2023-11-07,20:32:16
"KMO-59963","AJN-7103","11-781-4550",2,2023-07-07,13:10:30
"KMO-59963","AJN-7103","76-046-2056",1,2023-07-07,13:10:30
"KMO-59963","AJN-7103","56-863-3570",2,2023-07-07,13:10:30
"FNS-68804","AJZ-0374","44-012-6153",2,2023-10-04,13:30:54
"FNS-68804","AJZ-0374","72-174-0997",3,2023-10-04,13:30:54
"HTU-65749","AJZ-8795","04-383-5009",3,2024-03-30,10:23:53
"NZR-48213","AKD-1793","01-918-3378",3,2023-06-30,17:33:25
"NZR-48213","AKD-1793","41-335-3207",3,2023-06-30,17:33:25
"TYV-02102","AKD-2599","88-132-9067",2,2023-12-12,05:06:59
"TYV-02102","AKD-2599","52-928-6422",1,2023-12-12,05:06:59
"MGO-93456","AKU-5946","61-237-7918",1,2024-02-14,01:05:03
"MGO-93456","AKU-5946","88-462-2369",2,2024-02-14,01:05:03
"RPD-42853","AKU-6436","65-520-1327",1,2023-11-27,08:05:32
"RPD-42853","AKU-6436","71-514-3306",2,2023-11-27,08:05:32
"VHG-94089","ALF-9335","08-552-8854",3,2023-06-15,04:48:54
"VHG-94089","ALF-9335","66-501-7200",2,2023-06-15,04:48:54
"VHG-94089","ALF-9335","63-429-3981",1,2023-06-15,04:48:54
"WRU-36151","ALI-8785","61-452-6405",3,2024-01-01,21:40:38
"WRU-36151","ALI-8785","36-017-1691",2,2024-01-01,21:40:38
"WRU-36151","ALI-8785","12-285-6152",1,2024-01-01,21:40:38
"FXN-53707","ALM-0482","48-633-1857",1,2023-10-11,05:09:58
"FXN-53707","ALM-0482","28-101-1484",3,2023-10-11,05:09:58
"FXN-53707","ALM-0482","84-149-1094",1,2023-10-11,05:09:58
"PTQ-44693","ALM-2055","32-079-3525",2,2023-09-03,04:27:02
"PTQ-44693","ALM-2055","20-624-4154",3,2023-09-03,04:27:02
"INZ-84177","ALM-4713","21-441-5158",3,2023-10-27,20:43:28
"XHL-69925","ALM-7932","26-126-8637",2,2024-02-25,08:18:46
"XHL-69925","ALM-7932","40-677-5221",2,2024-02-25,08:18:46
"SAX-35594","ALN-4221","32-005-2173",1,2023-11-10,09:22:07
"SAX-35594","ALN-4221","32-560-6530",2,2023-11-10,09:22:07
"MQV-12400","ALN-4949","95-690-3184",1,2024-01-14,00:34:39
"MQV-12400","ALN-4949","84-070-2935",3,2024-01-14,00:34:39
"DMK-65903","ALQ-2841","25-630-4737",1,2023-09-18,21:35:13
"DMK-65903","ALQ-2841","90-967-1463",3,2023-09-18,21:35:13
"EVB-64319","ALQ-3792","77-123-2297",3,2024-01-24,20:00:51
"EVB-64319","ALQ-3792","19-809-3380",3,2024-01-24,20:00:51
"APZ-62721","AMB-4606","87-988-7651",3,2024-03-30,03:14:24
"ALK-56502","AMB-6428","01-505-2486",2,2023-07-05,16:58:49
"LTW-21557","AMK-6233","11-022-0978",2,2024-03-08,01:18:16
"HYP-42158","AMK-6934","04-764-3487",1,2023-08-29,06:56:56
"HYP-42158","AMK-6934","01-050-1010",1,2023-08-29,06:56:56
"PAF-44089","AML-1643","65-994-3238",3,2023-11-06,09:00:09
"PAF-44089","AML-1643","41-066-9136",1,2023-11-06,09:00:09
"PAF-44089","AML-1643","82-032-2395",1,2023-11-06,09:00:09
"WBR-75402","AML-9240","33-448-1950",2,2023-11-16,00:01:43
"BVT-77023","AOB-8105","08-724-0599",3,2023-10-07,02:40:19
"BVT-77023","AOB-8105","31-206-7727",2,2023-10-07,02:40:19
"BJF-99781","AOB-9966","08-506-1264",3,2024-03-30,13:04:19
